name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;169;0;449;3045;1822;3045;1797;0
header;181;215;181;245;1809;245;1809;215
A;1790;151;1790;151;1790;151;1790;151
A;1679;210;1679;212;1680;212;1680;210
A;1476;210;1476;210;1476;210;1476;210
A;1596;211;1596;211;1596;211;1596;211
A;1485;350;1485;352;1485;352;1485;350
A;1367;394;1367;404;1375;404;1375;394
D;641;413;641;439;666;439;666;413
C;1643;510;1643;555;1682;555;1682;510
C;1024;513;1024;557;1058;557;1058;513
B;1232;514;1232;556;1261;556;1261;514
B;707;515;707;557;737;557;737;515
B;1067;515;1067;557;1095;557;1095;515
B;866;515;866;557;895;557;895;515
A;704;822;704;822;704;822;704;822
A;261;858;261;858;262;858;262;858
A;974;913;974;916;1007;916;1007;913
A;971;963;971;964;973;964;973;963
C;1731;1072;1731;1091;1746;1091;1746;1072
D;1033;1478;1033;1505;1066;1505;1066;1478
A;929;1579;929;1595;937;1595;937;1579
B;913;1899;913;1916;923;1916;923;1899
A;381;2296;381;2297;383;2297;383;2296
A;812;2555;812;2567;819;2567;819;2555
A;1723;2794;1723;2795;1725;2795;1725;2794
